date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response  in Lydia App (millsec.),CBPII Response (millsec.)
2024-09-01,99.99,100,77.97,456.28,77.58,0,78.28
2024-09-02,99.99,100,78.49,459.31,78.39,0,78.9
2024-09-04,99.95,100,78.76,460.24,78.38,0,78.5
2024-09-05,99.99,100,78.53,439.15,78.33,0,78.83
2024-09-06,99.99,100,78.37,457.96,77.85,0,78.41
2024-09-07,99.98,100,78.24,442.36,77.92,0,78.36
2024-09-08,99.99,100,78.52,455.27,77.82,0,78.21
2024-09-09,99.99,100,79.2,419.84,78.76,0,79.35
2024-09-10,99.99,100,79.38,394.28,79.49,0,80.32
2024-09-11,99.98,100,79.48,372.5,78.43,0,79.02
2024-09-12,99.99,100,79.23,376.93,78.83,0,79.4
2024-09-13,99.99,100,83.94,393.77,87.95,0,85.46
2024-09-14,99.99,100,79.33,349.15,78.69,0,78.66
2024-09-15,99.99,100,78.56,376.69,77.73,0,79.18
2024-09-16,99.99,100,78.81,372.57,78.68,0,87.93
2024-09-17,99.99,100,81.43,357.85,82.53,0,82.38
2024-09-18,99.99,100,86.34,357.2,86.3,0,88.2
2024-09-19,99.99,100,87.26,364.94,87.3,2776.4,85.2
2024-09-20,99.99,100,86.04,369.18,86.5,2579.04,84.59
2024-09-21,99.99,100,88.23,363.75,87.5,2123.08,85.87
2024-09-22,99.98,100,89.13,506.32,89.36,2564.29,88.87
2024-09-23,99.99,100,88.87,378.83,88.49,2564.29,89.01
2024-09-24,99.99,100,85.21,400.01,84.63,2275.0,84.9
2024-09-25,99.98,100,88.39,462.68,88.2,2306.04,87.72
2024-09-26,99.99,100,91.46,460.52,92.05,2920.81,92.9
